dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,8,riemann_lr,clean,all_channels,1,0.0,0,22,0,0.9827586206896552,0.9976218787158144,0.02722324265213635,0.08418530496477851,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.9845422116527943,0.4981107040750491,0.49903299915720956,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,1,22,2,0.9310344827586207,0.9940546967895363,0.049445057100331896,0.10031485008410754,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,2,22,2,0.9482758620689655,0.995243757431629,0.04843871795315496,0.12442697614749593,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,3,22,2,0.7931034482758621,0.9928656361474435,0.1366378390284436,0.21262651049310333,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,4,22,2,0.7931034482758621,0.9928656361474435,0.1647558976301067,0.24452211603370722,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,5,22,2,0.7758620689655172,0.9964328180737217,0.1467674676206784,0.251370798842135,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,6,22,2,0.7068965517241379,0.9916765755053508,0.18824034684116647,0.27656182174608707,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,7,22,2,0.9137931034482758,0.995243757431629,0.05905969972096765,0.12925722749313395,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,8,22,2,0.9827586206896552,0.9964328180737217,0.038814801099146076,0.10538452086759989,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.1,9,22,2,0.9655172413793103,0.9964328180737217,0.033574800474138834,0.08555399004927985,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,0,22,4,0.7931034482758621,0.990487514863258,0.12087766683521249,0.20087399894122798,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,1,22,4,0.8793103448275862,0.9809750297265161,0.0916658854121438,0.19281293274830968,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.9785969084423306,0.46857907473122196,0.482464172062829,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,3,22,4,0.5344827586206896,0.9869203329369798,0.28424511844968137,0.35976286639284427,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.9607609988109393,0.47578782327903324,0.4862851785639298,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.9797859690844233,0.43818011853220645,0.4649216493260556,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,6,22,4,0.5,0.9583828775267538,0.4120275416165475,0.4473159111266237,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,7,22,4,0.8103448275862069,0.990487514863258,0.13031148680553478,0.23194669000386361,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,8,22,4,0.7586206896551724,0.9928656361474435,0.15976039686118848,0.2758039640785388,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.2,9,22,4,0.6206896551724138,0.9809750297265161,0.24528753816582102,0.32242701389456235,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.9571938168846611,0.4899313515334711,0.4937376508923351,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.9797859690844233,0.4878828440124238,0.49312274243356335,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,2,22,7,0.5,0.9548156956004756,0.4966540889921512,0.4979569476538843,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,3,22,7,0.5,0.9809750297265161,0.3995308447859455,0.4395920344573183,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.9892984542211654,0.4946434832415611,0.497004676121901,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,5,22,7,0.5172413793103449,0.9797859690844233,0.3140497684221004,0.3704016711181436,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.9785969084423306,0.34575189012323393,0.393848936970804,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,7,22,7,0.5,0.9916765755053507,0.42290038784754064,0.45375679715248274,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,8,22,7,0.8793103448275862,0.9881093935790725,0.12073980783212758,0.239030464511934,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.3,9,22,7,0.5517241379310345,0.9655172413793103,0.21062876875015046,0.3042449471966112,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.8573127229488704,0.49765771008501797,0.49851011643757354,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.8894173602853747,0.49994386596903295,0.49996910306109393,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,2,22,11,0.5,0.9453032104637337,0.499375855677198,0.49955668318930124,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,3,22,11,0.5,0.9702734839476812,0.49121985485982533,0.49438991925926334,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,4,22,11,0.6896551724137931,0.9845422116527943,0.15983232108274337,0.2943706807462858,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.9453032104637337,0.34359406748070886,0.40230900379793394,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.8799048751486325,0.49999160762905537,0.49999525027553293,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,7,22,11,0.5,0.9036860879904874,0.43672230376316257,0.45001881755184786,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,8,22,11,0.5862068965517242,0.9821640903686089,0.19278316007293678,0.34220122824789406,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,1,0.5,9,22,11,0.7241379310344828,0.9453032104637336,0.1787932303721553,0.29361401036327,,,
BNCI2014-001,8,riemann_lr,clean,all_channels,2,0.0,0,22,0,0.9655172413793103,0.9928656361474435,0.044709181011480505,0.10571709654508889,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,2,0.1,0,22,2,0.8448275862068966,0.9964328180737217,0.08854279545199795,0.18743915265691083,,,
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,2,0.1,1,22,2,0.9827586206896552,0.9976218787158144,0.0553782756257311,0.16654331176604698,,,
