dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,3,csp_lda,clean,all_channels,1,0.0,0,22,0,0.9310344827586208,0.985731272294887,0.04996931323537492,0.05330072678674676,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.9500594530321047,0.4999300943287722,0.4999643547116929,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.5,0.944114149821641,0.49999757420125185,0.4999987815273542,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.944114149821641,0.45484677119876077,0.4725710327869613,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.9137931034482758,0.9690844233055886,0.07153011970528243,0.093389959337874,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5,0.9869203329369798,0.49999977668372975,0.4999998883416217,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.5,0.8775267538644471,0.4999999989759862,0.4999999994863997,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.9482758620689655,0.9845422116527943,0.04661758888660505,0.06555193146799232,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.9619500594530321,0.4861520486711027,0.4924176089798555,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.5,0.9631391200951249,0.49998827590452954,0.4999941329951887,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5,0.868014268727705,0.49999992908512064,0.49999996432503624,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5,0.9548156956004756,0.49586881876934874,0.49790204771638746,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5517241379310345,0.9726516052318668,0.41884537727162874,0.44481191307793705,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.9036860879904876,0.4999999999963457,0.4999999999981724,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.9548156956004756,0.4999999955177352,0.49999999775594167,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.9678953626634959,0.4999995850134686,0.49999979247532345,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5172413793103449,0.7788347205707491,0.4680996626735466,0.47824844417574935,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.5172413793103449,0.9512485136741974,0.43556844101022557,0.45666629734146824,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5,0.8656361474435196,0.46082888637438224,0.4762223301911793,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.9215219976218787,0.49999997922144856,0.49999998942912616,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.9417360285374554,0.4999999972690267,0.4999999986343921,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5172413793103449,0.93935790725327,0.4557347963909019,0.47315348009071345,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.8917954815695601,0.49999870791211537,0.49999927595536464,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,2,22,7,0.5,0.8537455410225921,0.49999998541981094,0.4999999925860149,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,3,22,7,0.5862068965517242,0.8692033293697978,0.3673113924621023,0.4034425618669613,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.7550535077288941,0.4282410892409304,0.450803415314568,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,5,22,7,0.5,0.8394768133174791,0.4999362981180631,0.49996475877644897,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.8644470868014269,0.4999999999969629,0.4999999999984791,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,7,22,7,0.7758620689655172,0.9488703923900119,0.17221988999736917,0.2028101392392148,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,8,22,7,0.6551724137931034,0.9643281807372176,0.27551938231675477,0.3289243119199965,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.9143876337693223,0.49999999904582687,0.4999999995092949,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.7384066587395957,0.49999999999942313,0.4999999999995927,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.6183115338882283,0.4997792036530542,0.4998676468908233,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,2,22,11,0.3620689655172414,0.35434007134363854,0.47953080751949284,0.48379849582058154,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,3,22,11,0.5,0.8109393579072532,0.4999916940622508,0.49999579690168006,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.6813317479191439,0.45179057477557516,0.4639969525466851,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.9453032104637337,0.49932177769429315,0.4996596921904232,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.8478002378121283,0.48065299361205144,0.4895360459030473,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,7,22,11,0.5862068965517242,0.925089179548157,0.29843059333674726,0.35929971248788006,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,8,22,11,0.5,0.6397146254458977,0.45331756545948465,0.4603108530116875,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,1,0.5,9,22,11,0.5,0.896551724137931,0.4999999209298718,0.4999999603938927,,,
BNCI2014-001,3,csp_lda,clean,all_channels,2,0.0,0,22,0,0.9137931034482758,0.9821640903686089,0.05344388991613316,0.05467756794606039,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,0,22,2,0.5689655172413793,0.8703923900118906,0.3930213921362269,0.41609912620338857,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,1,22,2,0.7241379310344828,0.9512485136741974,0.2278432968018325,0.27407936884810025,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,2,22,2,0.5,0.7800237812128419,0.4999667470405248,0.49997852136308374,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,3,22,2,0.8275862068965517,0.9286563614744352,0.11770701340318676,0.11274111906461222,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,4,22,2,0.5,0.8763376932223543,0.4999758131223057,0.4999863142761572,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,5,22,2,0.5172413793103449,0.9322235434007135,0.45936169936735854,0.4754683752933878,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,6,22,2,0.5689655172413793,0.8703923900118906,0.3930213921362269,0.41609912620338857,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,7,22,2,0.5,0.9262782401902497,0.49858631491388034,0.49928497709347625,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,8,22,2,0.896551724137931,0.9785969084423305,0.07054201409337141,0.09723930375087204,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.1,9,22,2,0.5,0.7800237812128419,0.4999667470405248,0.49997852136308374,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.2,0,22,4,0.7931034482758621,0.9191438763376931,0.1430897507738183,0.1434134556628284,,,
BNCI2014-001,3,csp_lda,channel_dropout,all_channels,2,0.2,1,22,4,0.5,0.9441141498216409,0.4647982335264023,0.4803860454403918,,,
