dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,5,csp_lda,clean,all_channels,1,0.0,0,22,0,0.5862068965517241,0.5802615933412605,0.2516376470913802,0.1342462193480469,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5344827586206896,0.6218787158145066,0.26082805882111487,0.1582890120137272,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.5,0.4744351961950059,0.49906373038031643,0.4990200382221679,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.5219976218787158,0.4834106187207834,0.4825689287681275,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.5136741973840666,0.48326015957565793,0.4838003148414306,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.46551724137931033,0.5065398335315101,0.27517581669711316,0.16986430106992867,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.5,0.6670630202140309,0.489325024516,0.4900757531679291,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.5689655172413793,0.6349583828775268,0.25080484299568695,0.14232636615797328,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.629013079667063,0.4006924989520179,0.3970264816623367,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.5,0.5457788347205708,0.49449227575472515,0.4944380115055351,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5,0.5267538644470868,0.38581615667305624,0.3803158758872637,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5,0.619500594530321,0.48073889799345576,0.4822118993639928,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.6730083234244947,0.3968538813018167,0.3967821291754667,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.43995243757431635,0.49946320204600775,0.4994557760715719,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.5374554102259215,0.334350187117471,0.2908779179158401,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.5208085612366231,0.4971843693055426,0.4971620421069672,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.5505350772889417,0.4632067198630601,0.4629928942336935,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.5,0.6087990487514864,0.46887680453909153,0.4696583009465358,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5,0.5457788347205708,0.4825448491335216,0.48196139682114864,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.5564803804994054,0.33458121787157646,0.2945014800093656,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5689655172413793,0.5505350772889417,0.26042224474896963,0.1067630688959868,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.6230677764565993,0.4574111963421679,0.4585653746403066,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.5065398335315101,0.49991927658789126,0.49990820231506844,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,2,22,7,0.5689655172413793,0.5624256837098692,0.25187560219386534,0.08465983406642758,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,3,22,7,0.5,0.5196195005945303,0.33328614125614764,0.2860864635406557,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.40190249702734837,0.4973549248722256,0.4973182769154304,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,5,22,7,0.5,0.6242568370986921,0.4953999535440974,0.49555455364777096,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.5279429250891796,0.4846864324163029,0.4849465022594308,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,7,22,7,0.4655172413793104,0.49227110582639716,0.2680830627098206,0.15138346284486104,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,8,22,7,0.5,0.5802615933412604,0.2716742226203619,0.17036125869150628,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.5600475624256838,0.4741658433154053,0.47399371284046204,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.4946492271105827,0.4040024935525271,0.39147849421952374,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.638525564803805,0.46638553096369206,0.46726538790435745,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,2,22,11,0.5,0.4375743162901308,0.3966697313752851,0.3772108622331558,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,3,22,11,0.5,0.5053507728894173,0.38396590318654344,0.3688435352367363,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.5683709869203329,0.36215374743943357,0.3412268890351845,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.5683709869203328,0.49996701691223616,0.49996792060362116,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.42092746730083236,0.49806534549863457,0.49800053500251057,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,7,22,11,0.5,0.43995243757431635,0.46436828732872804,0.4620359400488665,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,8,22,11,0.5,0.394768133174792,0.28266853234393186,0.19099615768439082,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,1,0.5,9,22,11,0.5,0.4482758620689655,0.3504779686612854,0.31500192997478904,,,
BNCI2014-001,5,csp_lda,clean,all_channels,2,0.0,0,22,0,0.5,0.5600475624256838,0.2669104731928254,0.21430239466594295,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,0,22,2,0.5,0.43162901307966706,0.2804236479964974,0.17293886605822062,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,1,22,2,0.5,0.4161712247324614,0.4856922542753353,0.48408231224334364,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,2,22,2,0.5,0.3697978596908442,0.3303219150260718,0.2606600687957259,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,3,22,2,0.5,0.6623067776456599,0.4195254512401317,0.427233444724558,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,4,22,2,0.5,0.33174791914387636,0.49976832364156676,0.4997424374731577,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,5,22,2,0.5,0.6099881093935791,0.4918880620096877,0.49291311228841994,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,6,22,2,0.5,0.43162901307966706,0.2804236479964974,0.17293886605822062,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,7,22,2,0.5,0.6813317479191439,0.4584900797606434,0.4645978496937491,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,8,22,2,0.5689655172413793,0.5648038049940547,0.29332547570375167,0.21960238435913135,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.1,9,22,2,0.5,0.3697978596908442,0.3303219150260718,0.2606600687957259,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,0,22,4,0.5,0.34007134363852554,0.4977885658260507,0.497073082725491,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,1,22,4,0.5,0.4351961950059453,0.4949337514502386,0.4947931416060002,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,2,22,4,0.5,0.6468489892984542,0.442768885913321,0.4505819026239468,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,3,22,4,0.5,0.5636147443519619,0.3248936027915418,0.27805938796020746,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,4,22,4,0.603448275862069,0.5564803804994055,0.2507977192615295,0.15004656243980338,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,5,22,4,0.43103448275862066,0.48275862068965525,0.28303201792619553,0.2138164868685986,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,6,22,4,0.5,0.361474435196195,0.4131586543407608,0.3890227739283184,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,7,22,4,0.5,0.4137931034482759,0.492175159416492,0.4915034928518127,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,8,22,4,0.5,0.6492271105826398,0.4991512904047881,0.499333826791618,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.2,9,22,4,0.5689655172413793,0.6099881093935791,0.24265913300409844,0.08890165494518708,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,0,22,7,0.5,0.4577883472057075,0.4298633532788594,0.4212520228687402,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,1,22,7,0.5,0.6302021403091558,0.45386239969984826,0.45598633579461334,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,2,22,7,0.5,0.3626634958382878,0.4894255583544176,0.487617779244118,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,3,22,7,0.5,0.4542211652794293,0.4789273208231896,0.4773560741762837,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,4,22,7,0.5,0.4233055885850178,0.4434024029478218,0.4351922843455324,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,5,22,7,0.5,0.380499405469679,0.49949445847815716,0.49943711462369866,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,6,22,7,0.603448275862069,0.6278240190249703,0.23525084632960758,0.0645925170935704,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,7,22,7,0.5344827586206897,0.4482758620689656,0.2959367558696321,0.2537898446517678,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,8,22,7,0.5,0.38168846611177176,0.4452382254696397,0.4446133548714061,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.3,9,22,7,0.5,0.5005945303210464,0.3486033280707511,0.3100072535897981,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,0,22,11,0.5,0.4161712247324614,0.4813475197687208,0.47906270652462846,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,1,22,11,0.5,0.4197384066587396,0.2906068798789267,0.22804316021897356,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,2,22,11,0.5,0.47443519619500585,0.3870615739511181,0.3950332233303633,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,3,22,11,0.5,0.5814506539833532,0.49876804178411177,0.498906771990982,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,4,22,11,0.5,0.31866825208085614,0.4994550131016342,0.4993942585947422,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,5,22,11,0.5,0.3507728894173603,0.48233780428699075,0.47981907084932984,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,6,22,11,0.5,0.380499405469679,0.4992958376139131,0.4991986932842962,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,7,22,11,0.5,0.36266349583828783,0.4999341073640895,0.49992538354223914,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,8,22,11,0.5,0.4114149821640904,0.4633563810450928,0.46092813367895286,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,2,0.5,9,22,11,0.5344827586206896,0.5505350772889418,0.2891268737821707,0.2019902200366585,,,
BNCI2014-001,5,csp_lda,clean,all_channels,3,0.0,0,22,0,0.603448275862069,0.657550535077289,0.24124988566104158,0.10375535323143263,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,0,22,2,0.48275862068965514,0.5303210463733651,0.31279403592511185,0.2546959426979346,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,1,22,2,0.5344827586206896,0.6575505350772889,0.28853896182127925,0.23855811053755674,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,2,22,2,0.5,0.6516052318668253,0.49967839409808523,0.49971059080618535,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,3,22,2,0.5344827586206897,0.5897740784780025,0.2533074213538509,0.10971726394342499,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,4,22,2,0.5,0.5790725326991677,0.4989704139008531,0.4990133704246444,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,5,22,2,0.5,0.5457788347205708,0.4989688619835422,0.49901049436918216,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,6,22,2,0.5,0.6349583828775268,0.49980845253857414,0.49978412466785826,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,7,22,2,0.5,0.6087990487514863,0.42878678132512793,0.43897120009193163,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,8,22,2,0.5,0.5457788347205708,0.4399912791207363,0.44710304928733746,,,
BNCI2014-001,5,csp_lda,channel_dropout,all_channels,3,0.1,9,22,2,0.48275862068965514,0.5755053507728893,0.3163192708583338,0.2755416357956446,,,
