dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,9,csp_lda,clean,all_channels,1,0.0,0,22,0,0.8620689655172413,0.9429250891795482,0.10792673018332459,0.10304759264075344,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5172413793103449,0.9191438763376931,0.34680576979648464,0.4012755924189252,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.5,0.7550535077288942,0.4952012062533526,0.49720397269702166,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.8448275862068966,0.9453032104637337,0.08771996709322621,0.12027721093132512,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.44351961950059454,0.49999998042547295,0.4999999758116268,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5172413793103449,0.9405469678953626,0.3817304979227837,0.42686807188358417,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.5,0.530321046373365,0.43546393596867533,0.4291293606932477,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.6379310344827587,0.9048751486325802,0.21979625262072588,0.2716434957027025,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5344827586206896,0.9322235434007135,0.3301949563582363,0.3903481796424614,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.7586206896551724,0.8727705112960762,0.17892600820900056,0.17925507032520177,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5,0.3376932223543401,0.49730265422452286,0.4962783188356007,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5,0.906064209274673,0.42284557305769155,0.452049496352118,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.539833531510107,0.4971174797912397,0.4971552597677461,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.5065398335315101,0.49887755438991976,0.499008383087132,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.8448275862068966,0.8763376932223544,0.1458000641654605,0.13905827583132574,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5689655172413793,0.9274673008323425,0.30005836807113523,0.3626911293362679,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.7431629013079667,0.4984808246830993,0.49893351528134144,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.7758620689655172,0.8858501783590962,0.15886251255147382,0.14720578600924705,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5,0.7871581450653984,0.44975864610154187,0.46844441081712107,,,
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.5862068965517242,0.4999948190735641,0.4999956964959895,,,
