dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,8,csp_lda,clean,all_channels,1,0.0,0,22,0,0.9482758620689655,0.9964328180737217,0.03320375842123816,0.048193644132719204,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.7015457788347206,0.49868963308440056,0.4992770425803428,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.5,0.9167657550535078,0.4999999993772557,0.4999999996882458,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.8739595719381689,0.4999999999988599,0.4999999999994294,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.7776456599286563,0.4999999999994073,0.49999999999970185,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5,0.835909631391201,0.4999997578327294,0.4999998788900501,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.5,0.9286563614744353,0.49998903990677895,0.4999942172568642,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.5,0.9286563614744352,0.499990501810373,0.4999952468818729,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.8775267538644471,0.4999999776916739,0.49999998882661545,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.5,0.9821640903686089,0.4999980504774944,0.4999990251653822,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5,0.8573127229488704,0.4999999999970927,0.4999999999985455,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.8103448275862069,0.8822829964328182,0.14974642785485243,0.133051590764577,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.5689655172413793,0.49999999999999994,0.5,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.5,0.6099881093935791,0.46734316512485213,0.48292139825725533,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.7086801426872771,0.4999874104613286,0.4999936812000407,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5344827586206896,0.8977407847800237,0.4624919733068442,0.4696398721810213,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.603448275862069,0.9369797859690845,0.32564726797288374,0.3732143217994479,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.5,0.8632580261593341,0.4999959646095343,0.4999979083764058,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5,0.925089179548157,0.4944818675583092,0.49703926601974524,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.8180737217598097,0.4995273330537721,0.49974291499654533,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.990487514863258,0.4967265289672483,0.498347558706481,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.7479191438763376,0.4999999999991548,0.499999999999575,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.9310344827586207,0.499821157776079,0.4999099247416927,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,2,22,7,0.5,0.6254458977407849,0.4569372654550403,0.47114947764726095,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,3,22,7,0.7931034482758621,0.925089179548157,0.15921017333016885,0.2039351617439534,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.772294887039239,0.49999999997402245,0.49999999998501443,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,5,22,7,0.5,0.7098692033293698,0.49989210011117635,0.49991635802532586,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.7098692033293698,0.4998186370780193,0.4998929754332672,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,7,22,7,0.6206896551724138,0.7669441141498217,0.2880771866205122,0.30611778245470816,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,8,22,7,0.5,0.8799048751486326,0.49999999026674363,0.49999999510548154,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.450653983353151,0.4999999805954419,0.4999999843901198,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,0,22,11,0.5,0.8751486325802617,0.4999996648634885,0.4999998190870403,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.8953626634958384,0.499889217208081,0.4999433708411256,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,2,22,11,0.5,0.6516052318668253,0.4999201276546243,0.49991432047072226,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,3,22,11,0.5,0.7348394768133175,0.48333026877684754,0.4909345992631596,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.7253269916765755,0.47223610989193004,0.4794488995868281,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.718192627824019,0.4492611423107262,0.4658740650431849,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.6516052318668253,0.476080735819131,0.48369902071769416,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,7,22,11,0.5,0.7859690844233056,0.4703044554977483,0.48124457492191985,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,8,22,11,0.6379310344827587,0.7919143876337693,0.2951131648104611,0.31450959993154226,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,1,0.5,9,22,11,0.5,0.6135552913198573,0.4627361408297082,0.4848362753974917,,,
BNCI2014-001,8,csp_lda,clean,all_channels,2,0.0,0,22,0,0.9655172413793103,0.9940546967895363,0.03129713185103413,0.039463641263467464,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,0,22,2,0.5,0.9274673008323424,0.4999926384120458,0.4999963034326732,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,1,22,2,0.5,0.9262782401902497,0.499884292680168,0.49994117604154886,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,2,22,2,0.6551724137931034,0.9845422116527943,0.27708868830912853,0.3284435306953655,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,3,22,2,0.7068965517241379,0.9738406658739596,0.23031942932164756,0.28641433834501834,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,4,22,2,0.5,0.9583828775267538,0.49999893793539596,0.49999946884621993,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,5,22,2,0.5,0.6718192627824019,0.4523616894754849,0.46565348008011104,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,6,22,2,0.5,0.9274673008323424,0.4999926384120458,0.4999963034326732,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,7,22,2,0.5,0.9785969084423306,0.4999996700867215,0.49999983494011996,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,8,22,2,0.8620689655172413,0.9845422116527943,0.09981056705890441,0.14004893907041935,,,
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,2,0.1,9,22,2,0.6551724137931034,0.9845422116527943,0.27708868830912853,0.3284435306953655,,,
