dataset,pipeline,stressor,montage,dropout_fraction,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.1,9,0.7330950021705074,0.63786337127003,0.8169886939234104,0.5429816639299399,0.5215172264038048,0.5668070106209365,0.4172335285145439,0.3941065646698373,0.43577859470087454,0.41806438360040604,0.39844708410619734,0.43666038961035064,22.0
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.2,9,0.7021078930977862,0.620577567672179,0.7813405643665994,0.5231663929939792,0.5117993979200876,0.5381081877872471,0.44044588997786016,0.4258291335719768,0.4580097761866935,0.43855219599388173,0.4217972141671226,0.45691276582644585,22.0
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.3,9,0.6460420795349451,0.5811212474870752,0.7175413340127966,0.5161932129173509,0.5077828405816743,0.5306482337604322,0.4471145509357505,0.43055170456245356,0.4637544667536257,0.4432916949986345,0.42174941245073644,0.4601622821784206,22.0
BNCI2014-001,csp_lda,channel_dropout,all_channels,0.5,9,0.6215086914670743,0.5658726383934469,0.675689372062737,0.5114299397920087,0.504880412980045,0.5183784278049408,0.4525250930532544,0.4447258573042986,0.46599995764814006,0.449658670403751,0.44136224557822357,0.46255391892676034,22.0
BNCI2014-001,csp_lda,clean,all_channels,0.0,9,0.8414491440650774,0.7251596028608027,0.9213080035181382,0.7875615763546798,0.6841732363486117,0.869800572506491,0.1413679602490396,0.0892573964258194,0.19893425028141418,0.12126379577533987,0.08391040906523356,0.14872042814401282,22.0
BNCI2014-001,csp_lda,cross_session,all_channels,0.0,9,0.8529878257887517,0.7457396213350644,0.9316533668689215,0.7569444444444444,0.656428922339322,0.8516106972042903,0.1667666862792774,0.10654761805748386,0.22369571312081332,0.1604615685326916,0.10942551859756999,0.19596731983750657,22.0
BNCI2014-001,csp_lda,reduced_montage,motor_core,0.0,9,0.7604892135213182,0.6510526510686261,0.858065465794247,0.7029830322933771,0.609980303434879,0.7937192118226601,0.18011732653260137,0.1317178937850135,0.2172425703066288,0.11780827580752579,0.10042996130419148,0.1332495691847402,3.0
BNCI2014-001,csp_lda,reduced_montage,motor_extended,0.0,9,0.8054111696204442,0.6843472209040793,0.895887853293353,0.7519020251778872,0.6497094358141899,0.8427300216555333,0.15582344113240593,0.09919765086599408,0.20506284730269947,0.11667735849261376,0.08562703794190672,0.13637769099998753,9.0
