metric,numerator,denominator,rate,ci_low,ci_high
class_A_high,38,109,0.3486238532110092,0.25985732473399636,0.4458443110334298
class_B_rescue_candidate,26,109,0.23853211009174313,0.16211526204678103,0.3296520271105232
class_B_fragile,12,109,0.11009174311926606,0.05819613052445901,0.18441267527787095
class_C_ok_dev,13,109,0.11926605504587157,0.06505709363666141,0.1953111047744828
class_D_low_clean,20,109,0.1834862385321101,0.11583083200087929,0.26905541140988065
clean_working,63,109,0.5779816513761468,0.47963363112764223,0.6719836285718968
failure_at_50pct_among_clean_working,47,63,0.746031746031746,0.6205970714475044,0.8473301812029235
montage_rescue_among_50pct_failures,38,47,0.8085106382978723,0.6674026631661145,0.90850843199181
