dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.1,0.8199227110582641,0.5790886699507389,0.38385402883009007,0.39163705426078577,22,2.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.2,0.7982605741464244,0.5294458128078818,0.4166450867682607,0.4200476010012734,22,4.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.3,0.6955580091727535,0.5233374384236453,0.4305962127335793,0.4343981942666766,22,7.0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,0.5,0.6822226940716835,0.5178571428571428,0.44561885156563585,0.444874928692837,22,11.0
BNCI2014-001,1,csp_lda,clean,all_channels,0.0,0.9394088669950739,0.8543103448275863,0.09985274556070925,0.1088258062549567,22,0.0
BNCI2014-001,1,csp_lda,cross_session,all_channels,0.0,0.9743441358024691,0.8333333333333333,0.11966521197996788,0.16318708586056296,22,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_core,0.0,0.8624086971292678,0.7985221674876847,0.1491780389472817,0.13564360257176813,3,0.0
BNCI2014-001,1,csp_lda,reduced_montage,motor_extended,0.0,0.9448615593680992,0.8504926108374384,0.10091361766328341,0.10465100289532372,9,0.0
