dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,session_train,session_test
BNCI2014-001,1,csp_lda,clean,all_channels,1,0.0,0,22,0,0.9482758620689655,0.9797859690844233,0.05577000214747496,0.08870884896002518,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,0,22,2,0.5,0.8204518430439952,0.4960303427519593,0.49794771874609145,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,1,22,2,0.6896551724137931,0.9429250891795482,0.1969694942842482,0.2546045600617992,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,2,22,2,0.5,0.8596908442330559,0.4999998510801776,0.4999999240112573,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,3,22,2,0.5,0.5481569560047562,0.4997101887561534,0.49972208569729415,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,4,22,2,0.5344827586206896,0.9690844233055886,0.44130990689680055,0.46098236542514553,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,5,22,2,0.8103448275862069,0.8751486325802615,0.1384951244091675,0.07564788994563042,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,6,22,2,0.6724137931034483,0.9667063020214031,0.2094382732180149,0.27822856059620393,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,7,22,2,0.5,0.7360285374554102,0.4999999076850981,0.4999999444837768,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,8,22,2,0.896551724137931,0.9417360285374554,0.10341767476388739,0.12763893869106213,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.1,9,22,2,0.5344827586206896,0.8323424494649226,0.42102498616621103,0.45381963064348896,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,0,22,4,0.5862068965517242,0.9524375743162902,0.3648290291566973,0.4000573236752107,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,1,22,4,0.5,0.8442330558858502,0.4999998923062367,0.499999942231879,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,2,22,4,0.6896551724137931,0.8085612366230678,0.22976538452899142,0.2369472613084244,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,3,22,4,0.5,0.8787158145065398,0.49999633965689794,0.49999806414575915,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,4,22,4,0.5,0.7158145065398336,0.4999999017508669,0.49999994638380607,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,5,22,4,0.5,0.8370986920332937,0.4994294495299091,0.4996634905393746,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,6,22,4,0.6206896551724138,0.8228299643281807,0.3183352892210898,0.3519135171711406,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,7,22,4,0.5172413793103449,0.9988109393579073,0.3721147235704165,0.42212048125252083,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,8,22,4,0.5,0.718192627824019,0.4999999985780882,0.4999999991885542,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.2,9,22,4,0.5,0.9453032104637337,0.498955693360028,0.49943007231643327,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,0,22,7,0.5,0.5457788347205708,0.49996547014382886,0.49997112436754937,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,1,22,7,0.5,0.5600475624256838,0.4314626472249778,0.4427872254959619,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,2,22,7,0.6551724137931034,0.816884661117717,0.21770094166889647,0.1991659305843285,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,3,22,7,0.5,0.7800237812128419,0.489788237184742,0.4931621611726378,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,4,22,7,0.5,0.49702734839476814,0.45250146574362604,0.45127672637732774,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,5,22,7,0.5,0.43043995243757427,0.49979485914280397,0.49973284342314417,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,6,22,7,0.5,0.6373365041617123,0.49999997687749115,0.49999998101480797,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,7,22,7,0.5,0.6504161712247325,0.4999935234615527,0.49999473592694643,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,8,22,7,0.5,0.9583828775267539,0.4999986667432493,0.49999931637753686,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.3,9,22,7,0.5,0.5921521997621879,0.4999999440813109,0.49999994891199245,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,0,22,11,0.5344827586206896,0.7502972651605232,0.3584346371179933,0.3918790327671989,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,1,22,11,0.5,0.6801426872770512,0.4947669792377126,0.4968414976187169,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,2,22,11,0.5,0.5077288941736029,0.4999720034446469,0.4999713582158044,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,3,22,11,0.603448275862069,0.8168846611177171,0.33729927047202457,0.37043445113556966,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.6884661117717004,0.4992003131764447,0.49936103528534925,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.5552913198573127,0.4999999998614951,0.49999999989296756,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.5671819262782403,0.49947648409336187,0.4994588407310525,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,7,22,11,0.5,0.7657550535077289,0.49287317919541435,0.4952387146096351,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,8,22,11,0.5,0.8109393579072532,0.49816270282427255,0.4986677571757293,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,1,0.5,9,22,11,0.5,0.6444708680142688,0.49984219914942096,0.4998661704974094,,,
BNCI2014-001,1,csp_lda,clean,all_channels,2,0.0,0,22,0,0.7931034482758621,0.8810939357907254,0.1527517069083733,0.13160413032856336,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,0,22,2,0.7068965517241379,0.8287752675386445,0.1836595149407708,0.16277870153491625,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,1,22,2,0.5,0.6492271105826397,0.49642415073382273,0.49715599091208684,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,2,22,2,0.5862068965517242,0.8061831153388823,0.3959397797261388,0.42163152582952335,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,3,22,2,0.5344827586206896,0.8192627824019025,0.4286273397470635,0.4521478805010317,,,
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,4,22,2,0.5689655172413793,0.8799048751486326,0.4050369447756541,0.4279397188776347,,,
