dataset,pipeline,stressor,montage,dropout_fraction,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.1,9,0.8546369590245928,0.7611062177870718,0.9215477606024574,0.6251450465243569,0.5777156706007252,0.6875431770627725,0.2864215929924227,0.24157669136662108,0.32561325213519204,0.3080956411917687,0.2827997986215422,0.3346686730121184,22.0
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.2,9,0.8222261857576959,0.7222016837277803,0.8981357068487368,0.5718431855500821,0.5462274220032841,0.6055978239707941,0.35096586714051836,0.32035527233605343,0.3689475480403505,0.36211131650573763,0.3516169151296482,0.3730666196784056,22.0
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.3,9,0.7781437442198442,0.6788200932374535,0.8621352131815867,0.5392063492063491,0.5218171262725776,0.5630610604406325,0.38092575631095515,0.35712293109766524,0.40201281555605195,0.3863778402156657,0.3712916689872291,0.4020430469555051,22.0
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.5,9,0.7198735443444124,0.6300312870814591,0.8055155061328931,0.5126929392446633,0.5073348073853288,0.5203868084016661,0.4259639626662937,0.41623796337068286,0.43912010693213754,0.4218467953493217,0.4072608035977361,0.4358867811142936,22.0
BNCI2014-001,riemann_lr,clean,all_channels,0.0,9,0.8853707793065699,0.798981879203619,0.942629845705409,0.8271072796934865,0.7471201530708362,0.8932298456107659,0.12249099241170643,0.08157178000907475,0.16827734012883325,0.1158200216638748,0.10042863546875938,0.12768725019672272,22.0
BNCI2014-001,riemann_lr,cross_session,all_channels,0.0,9,0.8702632030178328,0.7786041634928882,0.9366722902600317,0.771604938271605,0.6701682672175819,0.871141975308642,0.1481728239559481,0.09677625747445942,0.1942378846835056,0.12895866987423985,0.10431100536942575,0.18464100415946444,22.0
BNCI2014-001,riemann_lr,reduced_montage,motor_core,0.0,9,0.768112413415624,0.6676263550498867,0.8610677882473323,0.7143404488232075,0.6328053643811852,0.8011153831791021,0.1827239583245229,0.13677637633812267,0.21713303767661674,0.11955210431980026,0.1019845403831738,0.13178685421873323,3.0
BNCI2014-001,riemann_lr,reduced_montage,motor_extended,0.0,9,0.828209048185267,0.7199324228623047,0.9101470284492226,0.7660919540229885,0.6669193879698156,0.8545301000262033,0.14842133784246783,0.09819366117622008,0.19404671608054092,0.11320289541904871,0.10236097108646712,0.12216761890508385,9.0
