subject,clean_auc,auc_cross_session_0,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_0.136364,auc_region_dropout_0.318182,clean_balanced_accuracy,balanced_accuracy_cross_session_0,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_0.136364,balanced_accuracy_region_dropout_0.318182
1,0.9357142857142856,0.9743441358024691,0.8246008153558688,0.7693816884661118,0.690885000849329,0.6740164769831832,0.868795651435366,0.9433157805333788,0.8950993714965177,0.7421309665364362,0.8577586206896551,0.8333333333333333,0.5611822660098522,0.5406896551724139,0.506551724137931,0.5118349753694581,0.8024630541871922,0.8682266009852218,0.6279556650246305,0.529064039408867
2,0.6234244946492271,0.626736111111111,0.5121572957363683,0.4958102598946832,0.50705112960761,0.4933268218107695,0.4975369458128078,0.5773144216069305,0.4514183794802107,0.5300067946322405,0.5836206896551724,0.5694444444444444,0.5108004926108375,0.5050123152709359,0.5028448275862069,0.4970812807881773,0.5003694581280789,0.5556650246305419,0.5,0.500307881773399
3,0.9916001358926448,0.9955632716049382,0.9423713266519448,0.9186342789196534,0.8255843383726855,0.7486589094615254,0.9689825038219808,0.9915321895702396,0.9315355868863598,0.8544250042466451,0.9618226600985222,0.9027777777777778,0.5896059113300492,0.5495935960591133,0.5575,0.5352586206896551,0.9167487684729064,0.9582512315270936,0.6283251231527094,0.5104064039408868
4,0.8523611347035841,0.8260030864197531,0.6976583998641074,0.6653550195345678,0.6101966196704603,0.6246521997621879,0.7436130456939017,0.833998641073552,0.6893069475114659,0.6741676575505351,0.7748768472906404,0.6944444444444444,0.5117364532019705,0.51435960591133,0.505628078817734,0.5010098522167488,0.6559113300492612,0.7397783251231527,0.5369458128078818,0.5035714285714286
5,0.5974774927807032,0.6114969135802469,0.5321547477492781,0.5095991166978088,0.4912722948870393,0.4988066927127569,0.5143111941566163,0.4797774757941226,0.4863088160353321,0.4915746560217428,0.5588669950738916,0.5486111111111112,0.5050738916256158,0.4986206896551723,0.5027709359605911,0.4988054187192118,0.5206896551724138,0.4720443349753694,0.5,0.5017241379310345
6,0.8126804824188891,0.7854938271604938,0.6597129267878377,0.6168770171564464,0.592064718872091,0.5523619840326143,0.6781382707660948,0.7535671819262783,0.6958297944623747,0.6424749447936131,0.7355911330049262,0.6319444444444444,0.5402709359605911,0.5108990147783251,0.5151108374384237,0.5094581280788177,0.607512315270936,0.6625615763546798,0.503448275862069,0.5
7,0.9369288262272806,0.8981481481481481,0.7759775777136062,0.7191948360794972,0.6541956854085272,0.6572838457618481,0.6930185153728555,0.7575760149481909,0.878987599796161,0.6950314251741124,0.8439655172413794,0.7430555555555556,0.5237931034482759,0.5242980295566503,0.5111699507389162,0.5150492610837438,0.6352216748768473,0.6980295566502464,0.5142857142857142,0.5194581280788177
8,0.9980890096823508,0.9928626543209876,0.8850611516901649,0.809345591982334,0.7441311364022423,0.6871772549685748,0.9402072362833362,0.9868099201630712,0.9852981144895534,0.8613682690674368,0.9685960591133004,0.9583333333333331,0.5310837438423646,0.5741133004926108,0.5424630541871921,0.5292487684729064,0.8541871921182265,0.9374384236453204,0.741871921182266,0.5
9,0.922846950908782,0.9662422839506172,0.7989222014608459,0.7167147953117038,0.655371156786139,0.6119678953626635,0.8862153898420247,0.8886444708680143,0.8763631730932563,0.7060599626295228,0.8366995073891627,0.9305555555555556,0.6301231527093596,0.5497906403940886,0.5238669950738916,0.5135098522167487,0.8118226600985221,0.8157635467980295,0.7285714285714285,0.6512315270935961
