model,term,estimate,ci_low,ci_high,p_value,n_subjects,n_subject_condition_rows,status,p_value_bh_fdr
roc_auc ~ C(stressor) + severity,Intercept,0.8873875933250805,0.8004537860124195,0.9743214006377416,4.826971964098725e-89,9,72,fit,2.896183178459235e-88
roc_auc ~ C(stressor) + severity,C(stressor)[T.clean],-0.00201681401851258,-0.03207315993383491,0.02803953189680975,0.895367329024974,9,72,fit,0.895367329024974
roc_auc ~ C(stressor) + severity,C(stressor)[T.cross_session],-0.01712439030724993,-0.04718073622257226,0.0129319556080724,0.26413305207875504,9,72,fit,0.316959662494506
roc_auc ~ C(stressor) + severity,C(stressor)[T.reduced_montage],-0.08922686252463717,-0.11548987526649769,-0.06296384978277665,2.7598022914048958e-11,9,72,fit,5.5196045828097916e-11
roc_auc ~ C(stressor) + severity,severity,-0.3406090363216231,-0.41048862116009627,-0.2707294514831499,1.2561546051011727e-21,9,72,fit,3.768463815303518e-21
roc_auc ~ C(stressor) + severity,Group Var,16.573306420449494,0.08005397251812596,33.066558868380866,0.04889832495080755,9,72,fit,0.07334748742621133
