model,term,estimate,ci_low,ci_high,p_value,n_subjects,n_subject_condition_rows,status,p_value_bh_fdr
roc_auc ~ C(stressor) + severity,Intercept,0.754131647347801,0.6650803280372627,0.8431829666583394,7.209147552798334e-62,9,72,fit,4.3254885316790006e-61
roc_auc ~ C(stressor) + severity,C(stressor)[T.clean],0.08731749671727583,0.04564254110291697,0.1289924523316347,4.016601083897937e-05,9,72,fit,6.024901625846905e-05
roc_auc ~ C(stressor) + severity,C(stressor)[T.cross_session],0.09885617844095,0.05718122282659113,0.14053113405530887,3.332503371237102e-06,9,72,fit,6.665006742474204e-06
roc_auc ~ C(stressor) + severity,C(stressor)[T.reduced_montage],0.028818544223079553,-0.007596723733974808,0.06523381218013391,0.12088044112474176,9,72,fit,0.12088044112474176
roc_auc ~ C(stressor) + severity,severity,-0.28524811192808514,-0.382140415626539,-0.18835580822963127,7.923544990621439e-09,9,72,fit,2.3770634971864316e-08
roc_auc ~ C(stressor) + severity,Group Var,8.539420975794721,-0.017897679409024647,17.096739630998467,0.050481093614557423,9,72,fit,0.06057731233746891
