subject,clean_auc,dropout50_auc,worst_dropout_auc,worst_dropout_delta,best_montage,best_montage_auc,clean_working_threshold,failure_threshold,clean_working,dropout_failure_at_50pct,montage_rescue,intervention_class
6,0.8126804824188891,0.5523619840326143,0.5523619840326143,-0.26031849838627485,motor_extended,0.7535671819262783,0.6,0.6,True,True,True,A_high
1,0.9357142857142856,0.6740164769831832,0.6740164769831832,-0.2616978087311024,motor_extended,0.9433157805333788,0.6,0.6,True,False,True,B_fragile
3,0.9916001358926448,0.7486589094615254,0.7486589094615254,-0.24294122643111948,motor_extended,0.9915321895702396,0.6,0.6,True,False,True,B_fragile
4,0.8523611347035841,0.6246521997621879,0.6101966196704603,-0.24216451503312375,motor_extended,0.833998641073552,0.6,0.6,True,False,True,B_fragile
7,0.9369288262272806,0.6572838457618481,0.6541956854085272,-0.28273314081875334,motor_extended,0.7575760149481909,0.6,0.6,True,False,True,B_fragile
8,0.9980890096823508,0.6871772549685748,0.6871772549685748,-0.31091175471377597,motor_extended,0.9868099201630712,0.6,0.6,True,False,True,B_fragile
9,0.922846950908782,0.6119678953626635,0.6119678953626635,-0.3108790555461185,motor_extended,0.8886444708680143,0.6,0.6,True,False,True,B_fragile
2,0.6234244946492271,0.4933268218107695,0.4933268218107695,-0.13009767283845763,motor_extended,0.5773144216069305,0.6,0.6,True,True,False,C_ok_dev
5,0.5974774927807032,0.4988066927127569,0.4912722948870393,-0.1062051978936639,motor_core,0.5143111941566163,0.6,0.6,False,False,False,D_low_clean
