subject,clean_auc,dropout50_auc,worst_dropout_auc,worst_dropout_delta,best_montage,best_montage_auc,clean_working_threshold,failure_threshold,clean_working,dropout_failure_at_50pct,montage_rescue,intervention_class
19,0.5,0.4579999999999999,0.428,-0.07200000000000001,motor_core,0.8300000000000001,0.6,0.6,False,False,True,B_rescue_candidate
23,0.5900000000000001,0.5435,0.5075,-0.08250000000000013,motor_extended,0.74,0.6,0.6,False,False,True,B_rescue_candidate
27,0.51,0.5655,0.5109999999999999,0.0009999999999998899,motor_extended,0.6599999999999999,0.6,0.6,False,False,True,B_rescue_candidate
28,0.48,0.465,0.417,-0.063,motor_core,0.6300000000000001,0.6,0.6,False,False,True,B_rescue_candidate
33,0.5599999999999999,0.487,0.487,-0.07299999999999995,motor_core,0.8300000000000001,0.6,0.6,False,False,True,B_rescue_candidate
41,0.5900000000000001,0.5105,0.4765,-0.1135000000000001,motor_extended,0.65,0.6,0.6,False,False,True,B_rescue_candidate
44,0.57,0.529,0.525,-0.04499999999999993,motor_core,0.71,0.6,0.6,False,False,True,B_rescue_candidate
45,0.5700000000000001,0.4554999999999999,0.4554999999999999,-0.11450000000000016,motor_extended,0.63,0.6,0.6,False,False,True,B_rescue_candidate
57,0.38,0.5185,0.482,0.10199999999999998,motor_extended,0.73,0.6,0.6,False,False,True,B_rescue_candidate
58,0.4899999999999999,0.495,0.4785,-0.0114999999999999,motor_extended,0.67,0.6,0.6,False,False,True,B_rescue_candidate
64,0.48,0.4915,0.4915,0.01150000000000001,motor_extended,0.76,0.6,0.6,False,False,True,B_rescue_candidate
66,0.54,0.4825,0.469,-0.07100000000000006,motor_core,0.6100000000000001,0.6,0.6,False,False,True,B_rescue_candidate
73,0.5700000000000001,0.436,0.4039999999999999,-0.16600000000000015,motor_core,0.7,0.6,0.6,False,False,True,B_rescue_candidate
76,0.5800000000000001,0.5315,0.497,-0.08300000000000007,motor_extended,0.68,0.6,0.6,False,False,True,B_rescue_candidate
79,0.51,0.56,0.5205,0.010499999999999954,motor_core,0.71,0.6,0.6,False,False,True,B_rescue_candidate
80,0.5800000000000001,0.5835,0.52,-0.06000000000000005,motor_core,0.62,0.6,0.6,False,False,True,B_rescue_candidate
82,0.5900000000000001,0.4429999999999999,0.4429999999999999,-0.14700000000000019,motor_core,0.61,0.6,0.6,False,False,True,B_rescue_candidate
88,0.4944444444444444,0.4571111111111111,0.4571111111111111,-0.03733333333333333,motor_core,0.6322222222222222,0.6,0.6,False,False,True,B_rescue_candidate
91,0.5900000000000001,0.4905,0.4905,-0.09950000000000009,motor_extended,0.72,0.6,0.6,False,False,True,B_rescue_candidate
95,0.36,0.4454999999999999,0.39,0.030000000000000027,motor_core,0.6599999999999999,0.6,0.6,False,False,True,B_rescue_candidate
106,0.51,0.475,0.4539999999999999,-0.056000000000000105,motor_extended,0.63,0.6,0.6,False,False,True,B_rescue_candidate
10,0.71,0.607,0.57,-0.14,motor_extended,0.93,0.6,0.6,True,False,True,C_ok_dev
11,0.63,0.5865,0.5865,-0.04349999999999998,motor_core,0.4699999999999999,0.6,0.6,True,True,False,C_ok_dev
18,0.63,0.529,0.529,-0.10099999999999998,motor_core,0.41,0.6,0.6,True,True,False,C_ok_dev
20,0.64,0.473,0.473,-0.16700000000000004,motor_core,0.42,0.6,0.6,True,True,False,C_ok_dev
34,0.96,0.7825,0.7825,-0.1775,motor_extended,0.98,0.6,0.6,True,False,True,C_ok_dev
39,0.6300000000000001,0.5315,0.5315,-0.09850000000000014,motor_extended,0.51,0.6,0.6,True,True,False,C_ok_dev
47,0.6900000000000001,0.655,0.637,-0.05300000000000005,motor_core,0.58,0.6,0.6,True,False,False,C_ok_dev
48,0.8400000000000001,0.6509999999999999,0.6509999999999999,-0.18900000000000017,motor_extended,0.72,0.6,0.6,True,False,True,C_ok_dev
60,0.91,0.732,0.732,-0.17800000000000005,motor_core,0.96,0.6,0.6,True,False,True,C_ok_dev
63,0.6599999999999999,0.518,0.518,-0.1419999999999999,motor_extended,0.5199999999999999,0.6,0.6,True,True,False,C_ok_dev
69,0.7,0.523,0.523,-0.17699999999999994,motor_extended,0.4199999999999999,0.6,0.6,True,True,False,C_ok_dev
72,0.96,0.85,0.85,-0.10999999999999999,motor_extended,0.95,0.6,0.6,True,False,True,C_ok_dev
74,0.65,0.5315,0.5315,-0.11850000000000005,motor_core,0.43,0.6,0.6,True,True,False,C_ok_dev
3,0.5700000000000001,0.526,0.4935,-0.07650000000000007,motor_extended,0.5199999999999999,0.6,0.6,False,False,False,D_low_clean
6,0.48,0.447,0.396,-0.08399999999999996,motor_extended,0.55,0.6,0.6,False,False,False,D_low_clean
17,0.48,0.4305,0.4305,-0.04949999999999999,motor_core,0.4599999999999999,0.6,0.6,False,False,False,D_low_clean
30,0.4199999999999999,0.4635,0.4445,0.024500000000000133,motor_extended,0.42,0.6,0.6,False,False,False,D_low_clean
36,0.47,0.4835,0.473,0.0030000000000000027,motor_core,0.5900000000000001,0.6,0.6,False,False,False,D_low_clean
37,0.38,0.4539999999999999,0.408,0.02799999999999997,motor_core,0.47,0.6,0.6,False,False,False,D_low_clean
38,0.4599999999999999,0.457,0.445,-0.014999999999999902,motor_core,0.37,0.6,0.6,False,False,False,D_low_clean
50,0.5199999999999999,0.5125,0.4855,-0.03449999999999992,motor_core,0.4799999999999998,0.6,0.6,False,False,False,D_low_clean
59,0.44,0.491,0.47,0.02999999999999997,motor_extended,0.5599999999999999,0.6,0.6,False,False,False,D_low_clean
67,0.5,0.54,0.539,0.039000000000000035,motor_extended,0.55,0.6,0.6,False,False,False,D_low_clean
77,0.54,0.521,0.4845,-0.05550000000000005,motor_extended,0.53,0.6,0.6,False,False,False,D_low_clean
78,0.51,0.473,0.473,-0.03700000000000003,motor_core,0.45,0.6,0.6,False,False,False,D_low_clean
86,0.5199999999999999,0.441,0.4044999999999999,-0.11549999999999999,motor_extended,0.5599999999999999,0.6,0.6,False,False,False,D_low_clean
87,0.4599999999999999,0.527,0.483,0.023000000000000076,motor_extended,0.4599999999999999,0.6,0.6,False,False,False,D_low_clean
96,0.54,0.449,0.449,-0.09100000000000003,motor_extended,0.45,0.6,0.6,False,False,False,D_low_clean
99,0.4,0.4425,0.4425,0.04249999999999998,motor_core,0.48,0.6,0.6,False,False,False,D_low_clean
100,0.4666666666666667,0.449375,0.449375,-0.01729166666666665,motor_extended,0.45,0.6,0.6,False,False,False,D_low_clean
101,0.4599999999999999,0.507,0.492,0.032000000000000084,motor_core,0.5599999999999999,0.6,0.6,False,False,False,D_low_clean
107,0.49,0.528,0.4709999999999999,-0.019000000000000072,motor_extended,0.48,0.6,0.6,False,False,False,D_low_clean
109,0.47,0.5115,0.4679999999999999,-0.0020000000000000573,motor_extended,0.4,0.6,0.6,False,False,False,D_low_clean
