subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
92,0.7088888888888889,0.66,0.6321111111111111,0.5996666666666667,0.5473333333333333,0.67,0.8400000000000001,0.6322222222222222,0.6533333333333333,0.5077777777777778,0.6433333333333333,0.5716666666666667,0.5286666666666666,0.5056666666666666,0.5056666666666666,0.6100000000000001,0.7633333333333334,0.5066666666666666,0.5133333333333333,0.5166666666666667
93,0.92,0.845,0.7560000000000001,0.748,0.726,0.89,0.95,0.92,0.9,0.64,0.8099999999999999,0.5710000000000001,0.511,0.52,0.5,0.805,0.8099999999999999,0.8,0.825,0.5
94,0.96,0.857,0.753,0.737,0.674,0.91,0.96,0.89,0.91,0.7,0.8949999999999999,0.643,0.565,0.539,0.516,0.835,0.905,0.5,0.625,0.5
95,0.43,0.4109999999999999,0.434,0.421,0.46,0.6599999999999999,0.5,0.48,0.4399999999999999,0.43,0.445,0.475,0.48,0.4755,0.4925,0.61,0.51,0.425,0.4549999999999999,0.48
96,0.86,0.804,0.772,0.716,0.653,0.4899999999999999,0.5599999999999999,0.85,0.86,0.78,0.745,0.604,0.5805,0.563,0.5375,0.4049999999999999,0.4549999999999999,0.725,0.6799999999999999,0.65
97,0.76,0.736,0.711,0.6859999999999999,0.687,0.74,0.76,0.72,0.78,0.77,0.735,0.54,0.5,0.5,0.5,0.6950000000000001,0.68,0.5,0.595,0.5
98,0.42,0.437,0.416,0.423,0.3929999999999999,0.53,0.69,0.47,0.45,0.3,0.48,0.461,0.475,0.481,0.4895,0.5,0.665,0.4549999999999999,0.515,0.365
99,0.56,0.55,0.5529999999999999,0.563,0.5660000000000001,0.45,0.3299999999999999,0.5399999999999999,0.5700000000000001,0.6199999999999999,0.58,0.513,0.4975,0.5165,0.51,0.495,0.425,0.605,0.55,0.55
100,0.5375,0.51375,0.5016666666666666,0.5241666666666667,0.5220833333333333,0.2125,0.3833333333333333,0.3041666666666666,0.5083333333333333,0.5416666666666667,0.4749999999999999,0.5091666666666667,0.5066666666666666,0.4983333333333333,0.5108333333333334,0.225,0.4166666666666666,0.5,0.5,0.525
101,0.3,0.315,0.327,0.308,0.337,0.51,0.45,0.39,0.32,0.35,0.395,0.433,0.4785,0.492,0.4915,0.445,0.47,0.425,0.445,0.425
102,0.76,0.75,0.722,0.723,0.652,0.74,0.85,0.72,0.8400000000000001,0.6599999999999999,0.74,0.5575,0.5365,0.5025,0.5135000000000001,0.7150000000000001,0.8,0.505,0.7,0.5
103,0.6599999999999999,0.634,0.5670000000000001,0.5379999999999999,0.45,0.48,0.55,0.5,0.6799999999999999,0.74,0.6,0.539,0.5125,0.4975,0.5055,0.435,0.45,0.5,0.63,0.575
104,0.5625,0.45625,0.42475,0.3779999999999999,0.3445,0.5275000000000001,0.55,0.5425,0.5275000000000001,0.545,0.525,0.491,0.4785,0.4735,0.482,0.445,0.52,0.43,0.4349999999999999,0.445
105,0.8699999999999999,0.741,0.6659999999999999,0.603,0.5479999999999999,0.6900000000000001,0.79,0.78,0.82,0.79,0.755,0.5885,0.5355,0.4965,0.504,0.5900000000000001,0.66,0.51,0.6599999999999999,0.6799999999999999
106,0.41,0.3779999999999999,0.4419999999999999,0.434,0.471,0.5900000000000001,0.5599999999999999,0.35,0.43,0.3999999999999999,0.495,0.49,0.49,0.4875,0.5045000000000001,0.575,0.49,0.455,0.495,0.5
107,0.62,0.569,0.528,0.512,0.3969999999999999,0.47,0.4599999999999999,0.61,0.63,0.6,0.575,0.5285,0.5155,0.513,0.5075,0.49,0.505,0.545,0.5349999999999999,0.5599999999999999
108,0.93,0.88,0.804,0.7909999999999999,0.7410000000000001,0.77,0.91,0.79,0.9,0.8699999999999999,0.8699999999999999,0.6415000000000001,0.5770000000000001,0.5655,0.527,0.65,0.85,0.5,0.8,0.545
109,0.38,0.397,0.414,0.42,0.47,0.39,0.2799999999999999,0.4399999999999999,0.42,0.4800000000000001,0.4599999999999999,0.4805,0.48,0.4915,0.506,0.4349999999999999,0.36,0.48,0.4549999999999999,0.55
