metric,numerator,denominator,rate,ci_low,ci_high
class_A_high,1,9,0.1111111111111111,0.002809136746599214,0.48249651491733697
class_B_rescue_candidate,0,9,0.0,0.0,0.3362671168799428
class_B_fragile,6,9,0.6666666666666666,0.29929505620854036,0.9251453685803082
class_C_ok_dev,1,9,0.1111111111111111,0.002809136746599214,0.48249651491733697
class_D_low_clean,1,9,0.1111111111111111,0.002809136746599214,0.48249651491733697
clean_working,8,9,0.8888888888888888,0.517503485082663,0.9971908632534008
failure_at_50pct_among_clean_working,2,8,0.25,0.031854026249944226,0.6508557944128242
montage_rescue_among_50pct_failures,1,2,0.5,0.01257911709342505,0.9874208829065749
