metric,numerator,denominator,rate,ci_low,ci_high
class_A_high,2,9,0.2222222222222222,0.028144973477898197,0.600093573716312
class_B_rescue_candidate,0,9,0.0,0.0,0.3362671168799428
class_B_fragile,1,9,0.1111111111111111,0.002809136746599214,0.48249651491733697
class_C_ok_dev,6,9,0.6666666666666666,0.29929505620854036,0.9251453685803082
class_D_low_clean,0,9,0.0,0.0,0.3362671168799428
clean_working,9,9,1.0,0.6637328831200572,1.0
failure_at_50pct_among_clean_working,3,9,0.3333333333333333,0.07485463141969183,0.7007049437914596
montage_rescue_among_50pct_failures,2,3,0.6666666666666666,0.09429932405024609,0.9915962413403874
