dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,4,riemann_lr,reduced_montage,motor_extended,0.0,,0.8099999999999999,0.68,0.2082008208853971,0.198974720288802,9,0.0
PhysionetMotorImagery,4,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.8,0.585,0.2417866099546492,0.298546715991155,64,3.0
PhysionetMotorImagery,4,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8,0.5700000000000001,0.2652441818006668,0.2888768026118801,64,9.0
PhysionetMotorImagery,4,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.77,0.495,0.3153080748098295,0.3635087564353888,64,9.0
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.1,,0.384,0.476,0.3264189029077085,0.3192467066212086,64,6.0
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.2,,0.389,0.492,0.3502447909628967,0.3380213939840395,64,13.0
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.3,,0.414,0.5075,0.355223153660297,0.3394067965451024,64,19.0
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.5,,0.433,0.498,0.3681338310973372,0.3479335578231729,64,32.0
PhysionetMotorImagery,5,riemann_lr,clean,all_channels,0.0,,0.4,0.415,0.2925943343883447,0.3086441159826634,64,0.0
PhysionetMotorImagery,5,riemann_lr,reduced_montage,motor_core,0.0,,0.5599999999999999,0.525,0.2455473863488106,0.1098130182161536,3,0.0
PhysionetMotorImagery,5,riemann_lr,reduced_montage,motor_extended,0.0,,0.5599999999999999,0.505,0.2478495866896763,0.2485728191850803,9,0.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.35,0.515,0.3093217272517683,0.2914639814662805,64,3.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.35,0.41,0.3022315658816925,0.2950057751816496,64,9.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.44,0.49,0.295053623829611,0.3438477495921921,64,9.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.1,,0.53,0.5015,0.3198938958641457,0.3210634695306211,64,6.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.2,,0.4909999999999999,0.4915,0.3233994464257277,0.3052855877637075,64,13.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.3,,0.518,0.494,0.3170586233000229,0.2993865809708422,64,19.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.5,,0.505,0.477,0.3362416435128391,0.3030254222506555,64,32.0
PhysionetMotorImagery,6,riemann_lr,clean,all_channels,0.0,,0.63,0.5650000000000001,0.2436819671543301,0.2662409636405615,64,0.0
PhysionetMotorImagery,6,riemann_lr,reduced_montage,motor_core,0.0,,0.4199999999999999,0.47,0.2578588198789243,0.0718805666793487,3,0.0
PhysionetMotorImagery,6,riemann_lr,reduced_montage,motor_extended,0.0,,0.4599999999999999,0.4600000000000001,0.2636670485002989,0.2045404049776202,9,0.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.5599999999999999,0.525,0.2602476542896503,0.2092724899270944,64,3.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.5,0.47,0.2850710236517623,0.2332667573740062,64,9.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.4899999999999999,0.5,0.3360364358282251,0.337104412518972,64,9.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.1,,0.997,0.7265,0.170879930660151,0.3183467115171091,64,6.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.2,,0.974,0.6515000000000001,0.2279924473685116,0.3497935131000742,64,13.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.3,,0.968,0.593,0.276203408936603,0.3660267119882249,64,19.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.5,,0.831,0.5215,0.3289324275649135,0.3524954953824216,64,32.0
PhysionetMotorImagery,7,riemann_lr,clean,all_channels,0.0,,1.0,1.0,0.0544674901268999,0.2068081818921451,64,0.0
PhysionetMotorImagery,7,riemann_lr,reduced_montage,motor_core,0.0,,0.96,0.845,0.1196319749031034,0.2765859774069936,3,0.0
PhysionetMotorImagery,7,riemann_lr,reduced_montage,motor_extended,0.0,,1.0,0.93,0.0709594918127219,0.2258781189247998,9,0.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,1.0,0.905,0.096030036798187,0.2505775417442618,64,3.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,1.0,0.5,0.3118691531504171,0.4069959193253831,64,9.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.98,0.5,0.3856451413976218,0.4280352864528627,64,9.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.1,,0.539,0.5005,0.3315991154651088,0.3357678928060721,64,6.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.2,,0.4679999999999999,0.4895,0.3497287438740776,0.3361188757305731,64,13.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.3,,0.476,0.489,0.3569759933100552,0.3392273089168743,64,19.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.5,,0.417,0.486,0.3999799184996058,0.3786243212147546,64,32.0
PhysionetMotorImagery,8,riemann_lr,clean,all_channels,0.0,,0.6599999999999999,0.62,0.260615307349549,0.2857196765075381,64,0.0
PhysionetMotorImagery,8,riemann_lr,reduced_montage,motor_core,0.0,,0.67,0.585,0.2385171333838803,0.1555230596505385,3,0.0
PhysionetMotorImagery,8,riemann_lr,reduced_montage,motor_extended,0.0,,0.77,0.7350000000000001,0.2096315501725741,0.224489050014333,9,0.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.62,0.51,0.2986582934105516,0.3323468208932786,64,3.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.58,0.5,0.3326219134520808,0.3046256987467389,64,9.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.52,0.525,0.3263129596644988,0.3221964500967105,64,9.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.1,,0.4379999999999999,0.4915,0.3680946204210389,0.3621261841620672,64,6.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.2,,0.43,0.496,0.4096521533332057,0.4030014523481188,64,13.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.3,,0.427,0.502,0.4179068769870778,0.4117724403506577,64,19.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.5,,0.4429999999999999,0.502,0.4272806241435816,0.4225966698927752,64,32.0
PhysionetMotorImagery,9,riemann_lr,clean,all_channels,0.0,,0.47,0.5599999999999999,0.2735069082232751,0.2099706119502962,64,0.0
PhysionetMotorImagery,9,riemann_lr,reduced_montage,motor_core,0.0,,0.68,0.5549999999999999,0.2409861479201401,0.1170077945264985,3,0.0
PhysionetMotorImagery,9,riemann_lr,reduced_montage,motor_extended,0.0,,0.6300000000000001,0.635,0.2342335170762477,0.1759299745718354,9,0.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.44,0.5,0.3583376879185492,0.3474854748942653,64,3.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.39,0.5,0.3741739187190303,0.3689006979754223,64,9.0
PhysionetMotorImagery,9,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.41,0.5,0.3959752355767659,0.3940474070343024,64,9.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.1,,0.519,0.498,0.2835893594362802,0.300562251359167,64,6.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.2,,0.506,0.489,0.300492801196917,0.310829506384905,64,13.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.3,,0.51,0.507,0.2947055069715547,0.2773991015471452,64,19.0
PhysionetMotorImagery,10,riemann_lr,channel_dropout,all_channels,0.5,,0.489,0.4865,0.3148517776621949,0.2951419925251535,64,32.0
PhysionetMotorImagery,10,riemann_lr,clean,all_channels,0.0,,0.58,0.5900000000000001,0.2483084564545781,0.3285814654902202,64,0.0
PhysionetMotorImagery,10,riemann_lr,reduced_montage,motor_core,0.0,,0.79,0.745,0.2031819136907523,0.2717333087678794,3,0.0
PhysionetMotorImagery,10,riemann_lr,reduced_montage,motor_extended,0.0,,0.8800000000000001,0.765,0.175719318148509,0.286505065343655,9,0.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.47,0.52,0.2743611043934272,0.3297260682770215,64,3.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.5700000000000001,0.52,0.2684786049194959,0.2778015540309685,64,9.0
PhysionetMotorImagery,10,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.42,0.48,0.2899761306264606,0.3220059070964191,64,9.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.1,,0.7040000000000001,0.5965,0.2745588960705548,0.3122004775345632,64,6.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.2,,0.635,0.54,0.3269722946824309,0.3484846931970412,64,13.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.3,,0.635,0.547,0.344954127091961,0.3626420347924098,64,19.0
PhysionetMotorImagery,11,riemann_lr,channel_dropout,all_channels,0.5,,0.5479999999999999,0.526,0.3965126664749162,0.4027301673174185,64,32.0
PhysionetMotorImagery,11,riemann_lr,clean,all_channels,0.0,,0.74,0.685,0.1964568402492473,0.2889519857849719,64,0.0
PhysionetMotorImagery,11,riemann_lr,reduced_montage,motor_core,0.0,,0.4699999999999999,0.465,0.2563135227668088,0.1398295928230643,3,0.0
PhysionetMotorImagery,11,riemann_lr,reduced_montage,motor_extended,0.0,,0.44,0.45,0.2606265644305897,0.2882111506304838,9,0.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.76,0.71,0.2095755780894406,0.3100484590517857,64,3.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.8099999999999999,0.71,0.2213708279777511,0.2867224679104155,64,9.0
PhysionetMotorImagery,11,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.73,0.6849999999999999,0.2130514469206851,0.2663112773925867,64,9.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.1,,0.784,0.578,0.2693748591779891,0.3548204304294024,64,6.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.2,,0.755,0.5539999999999999,0.3080062331336007,0.3638142447812745,64,13.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.3,,0.7559999999999999,0.51,0.3300797285834318,0.3640866287396981,64,19.0
PhysionetMotorImagery,12,riemann_lr,channel_dropout,all_channels,0.5,,0.706,0.486,0.3804136317876717,0.3878811680061759,64,32.0
PhysionetMotorImagery,12,riemann_lr,clean,all_channels,0.0,,0.8,0.775,0.1894788324951834,0.3177915160860075,64,0.0
PhysionetMotorImagery,12,riemann_lr,reduced_montage,motor_core,0.0,,0.62,0.5650000000000001,0.2559891148659138,0.2442128949660343,3,0.0
PhysionetMotorImagery,12,riemann_lr,reduced_montage,motor_extended,0.0,,0.78,0.6849999999999999,0.2165600345139618,0.3258027876319824,9,0.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.79,0.7150000000000001,0.2062666866399027,0.3158784522111778,64,3.0
PhysionetMotorImagery,12,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.75,0.5,0.4166122299453139,0.4355218266817579,64,9.0
