subject,clean_auc,auc_cross_session_0,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_0.136364,auc_region_dropout_0.318182,clean_balanced_accuracy,balanced_accuracy_cross_session_0,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_0.136364,balanced_accuracy_region_dropout_0.318182
1,0.96230677764566,0.9591049382716048,0.9481832852046882,0.9282249023271616,0.8986886359775776,0.8305894343468659,0.8591302870732122,0.9487514863258026,0.9501443859351112,0.8191183964667912,0.8857142857142858,0.8958333333333334,0.6551108374384236,0.5661453201970443,0.5396305418719212,0.519667487684729,0.7852216748768474,0.8752463054187192,0.6406403940886699,0.5
2,0.6840156276541532,0.6589506172839507,0.6250365211482929,0.5850297265160523,0.5492933582469849,0.5229828435535926,0.5500849329030066,0.6052998131476134,0.5948615593680993,0.5883259724817395,0.6564039408866995,0.5625,0.5183128078817734,0.5066009852216748,0.5027586206896552,0.5001970443349754,0.5353448275862069,0.5520935960591133,0.527832512315271,0.5151477832512315
3,0.9966196704603364,0.998263888888889,0.9930626804824187,0.983577373874639,0.959728214710379,0.9000263291999321,0.973883132325463,0.9922880924069984,0.9946832002717854,0.8822023101749619,0.9757389162561576,0.9652777777777778,0.744679802955665,0.6558497536945812,0.5847536945812808,0.5490024630541872,0.9064039408866996,0.9651477832512316,0.808743842364532,0.5
4,0.889001189060642,0.8840663580246914,0.8515856972991337,0.8095065398335315,0.7509291659588925,0.6956030236113471,0.7523016816714796,0.8589434346865975,0.850883302191269,0.7395702395107865,0.8056650246305418,0.7777777777777778,0.5579556650246306,0.5160098522167488,0.5158866995073892,0.5064285714285715,0.6871921182266011,0.7464285714285714,0.5,0.5187192118226601
5,0.6623152709359605,0.6809413580246914,0.6504509937149652,0.6179225411924579,0.5622719551554273,0.521127059622898,0.5410735518940037,0.5696959402072362,0.667717003567182,0.5647358586716493,0.6114532019704433,0.611111111111111,0.5266009852216749,0.5202955665024631,0.5069458128078818,0.5044334975369459,0.5311576354679803,0.5383004926108375,0.5,0.4916871921182266
6,0.8465347375573297,0.8103780864197532,0.8034100560557159,0.7450424664515033,0.6739994904025819,0.5875462884321386,0.6936215389842025,0.791268897570919,0.8107270256497368,0.6995541022592152,0.7532019704433497,0.7222222222222222,0.5675369458128079,0.5365517241379311,0.5186330049261084,0.5021182266009852,0.6422413793103449,0.7008620689655173,0.506896551724138,0.5049261083743842
7,0.9423560387294035,0.9126157407407408,0.903304739255988,0.8537608289451333,0.7851834550704944,0.7303677594700188,0.7024290810259894,0.7955240360115509,0.927356888058434,0.8025479870901988,0.8780788177339902,0.5833333333333334,0.6105418719211823,0.5764532019704434,0.5248399014778325,0.5129802955665025,0.6215517241379309,0.7363300492610837,0.5248768472906404,0.5
8,0.9963733650416172,0.9971064814814816,0.988795651435366,0.9766111771700356,0.960027178528962,0.9093103448275862,0.9421097333106844,0.9882198063529812,0.9927891965347376,0.8860030575845081,0.9721674876847292,0.9722222222222224,0.7800615763546799,0.6195812807881773,0.592167487684729,0.5323152709359605,0.8719211822660098,0.9408866995073892,0.8652709359605911,0.5
9,0.918872091048072,0.9309413580246914,0.8993536606081196,0.8802148802446068,0.8247265160523187,0.792063869543061,0.8876932223543401,0.9037285544419909,0.91589943944284,0.7337523356548327,0.8576354679802956,0.8541666666666667,0.6512931034482758,0.5709605911330049,0.5639408866995074,0.5376354679802956,0.7879310344827586,0.8225369458128078,0.7334975369458128,0.4982758620689654
