dataset,pipeline,subject,metric,n_conditions,slope_per_100pct_dropout,slope_per_10pct_dropout,intercept,r_value,p_value_subject_slope
BNCI2014-001,riemann_lr,1,roc_auc,5,-0.2736184630358236,-0.027361846303582363,0.9718517438790922,-0.9835388126647766,0.002529008749860935
BNCI2014-001,riemann_lr,1,balanced_accuracy,5,-0.6836040473971509,-0.0683604047397151,0.7923608707229397,-0.8594805449771514,0.061882236653206406
BNCI2014-001,riemann_lr,1,brier_score,5,0.6398476021341918,0.06398476021341919,0.15770282723496745,0.9004841978050449,0.037117655901076095
BNCI2014-001,riemann_lr,1,ece,5,0.5503162811708231,0.055031628117082315,0.2049222546546725,0.8704869716239939,0.05485066491702423
BNCI2014-001,riemann_lr,2,roc_auc,5,-0.34964546251704404,-0.034964546251704406,0.6726765456640607,-0.9619471762645455,0.00885971264010187
BNCI2014-001,riemann_lr,2,balanced_accuracy,5,-0.24270902676075093,-0.024270902676075096,0.5945881041139661,-0.7190687918815092,0.1710126547964683
BNCI2014-001,riemann_lr,2,brier_score,5,0.3343140539847223,0.03343140539847223,0.29106269960045716,0.7876744745386619,0.11363119609816284
BNCI2014-001,riemann_lr,2,ece,5,0.4352690721881491,0.043526907218814914,0.23148088832321284,0.7506524822743633,0.14374442012436148
BNCI2014-001,riemann_lr,3,roc_auc,5,-0.22401845109930704,-0.022401845109930707,1.0123550631487612,-0.9454165247482541,0.015182298977310736
BNCI2014-001,riemann_lr,3,balanced_accuracy,5,-0.8455115830115829,-0.0845511583011583,0.882086439888164,-0.9066386306640258,0.03376038274954454
BNCI2014-001,riemann_lr,3,brier_score,5,0.7410407392382781,0.07410407392382781,0.09130168101207728,0.9355898887070077,0.019432286748107156
BNCI2014-001,riemann_lr,3,ece,5,0.6466577469800834,0.06466577469800834,0.16099378352613816,0.8947821768954861,0.04031735437622962
BNCI2014-001,riemann_lr,4,roc_auc,5,-0.3971746036847108,-0.03971746036847108,0.8825239878063899,-0.9918203123279159,0.0008869627126538702
BNCI2014-001,riemann_lr,4,balanced_accuracy,5,-0.4835824124617227,-0.04835824124617227,0.6882354213819732,-0.7345421649789513,0.15748154719650465
BNCI2014-001,riemann_lr,4,brier_score,5,0.5123709824388455,0.05123709824388455,0.24026284420223443,0.80668505710988,0.09901926209330048
BNCI2014-001,riemann_lr,4,ece,5,0.49973060666508706,0.04997306066650871,0.23999461869875094,0.7725460861408573,0.12568160169534132
BNCI2014-001,riemann_lr,5,roc_auc,5,-0.2971324815557871,-0.02971324815557871,0.7002169461800852,-0.9800730481858501,0.0033666096895822025
BNCI2014-001,riemann_lr,5,balanced_accuracy,5,-0.2516725469311673,-0.02516725469311673,0.6019319997337238,-0.7762137678604825,0.12272690833615288
BNCI2014-001,riemann_lr,5,brier_score,5,0.35078957867261945,0.035078957867261944,0.2691696078862375,0.8701440801112269,0.05506567966541415
BNCI2014-001,riemann_lr,5,ece,5,0.4661033711264277,0.04661033711264277,0.20133374643126364,0.8297261200699882,0.08215620187484152
BNCI2014-001,riemann_lr,6,roc_auc,5,-0.5313062680482415,-0.05313062680482416,0.8602658399864107,-0.9920906660525612,0.0008433887597813901
BNCI2014-001,riemann_lr,6,balanced_accuracy,5,-0.4415457329250435,-0.04415457329250436,0.6845193715883373,-0.8243260642551189,0.08602134657228752
BNCI2014-001,riemann_lr,6,brier_score,5,0.46798865352818586,0.04679886535281859,0.22685886250776743,0.8684367776244633,0.05614019296186565
BNCI2014-001,riemann_lr,6,ece,5,0.4883662666829493,0.048836626668294934,0.20395535225299288,0.8281827530584549,0.08325529942946217
BNCI2014-001,riemann_lr,7,roc_auc,5,-0.4880144753212531,-0.048801447532125314,0.9403057699282432,-0.9954889623683181,0.0003634581792634468
BNCI2014-001,riemann_lr,7,balanced_accuracy,5,-0.612713020902676,-0.0612713020902676,0.7500850419384902,-0.8290005702055501,0.08267233702534423
BNCI2014-001,riemann_lr,7,brier_score,5,0.657041695292873,0.0657041695292873,0.18062395724537045,0.9263851080602321,0.02370979411300568
BNCI2014-001,riemann_lr,7,ece,5,0.5826858580710041,0.05826858580710042,0.2098404374258144,0.9077430159024339,0.03316879041024242
BNCI2014-001,riemann_lr,8,roc_auc,5,-0.16947304872394034,-0.016947304872394035,1.0048070875359818,-0.9806005441719144,0.003234077117608295
BNCI2014-001,riemann_lr,8,balanced_accuracy,5,-0.8517524297696711,-0.08517524297696712,0.8894569631207562,-0.9251739795596802,0.02429278818370096
BNCI2014-001,riemann_lr,8,brier_score,5,0.7291943471631972,0.07291943471631972,0.08611321409503986,0.9564025890057771,0.010855860116704292
BNCI2014-001,riemann_lr,8,ece,5,0.6578204466908137,0.06578204466908137,0.15431223860681878,0.9217449666089659,0.025967949634319035
BNCI2014-001,riemann_lr,9,roc_auc,5,-0.3081163718500227,-0.030811637185002273,0.9319191163305314,-0.9978973532919755,0.00011570344666335616
BNCI2014-001,riemann_lr,9,balanced_accuracy,5,-0.5568150046598324,-0.05568150046598324,0.7469057049660499,-0.7942781008570414,0.1084868559880291
BNCI2014-001,riemann_lr,9,brier_score,5,0.5177798405920827,0.051777984059208276,0.18800616648536234,0.845756369240197,0.07101211928161573
BNCI2014-001,riemann_lr,9,ece,5,0.49736789693111383,0.049736789693111384,0.20146972671637983,0.7818369286866149,0.11823791234029402
