subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
64,0.48,0.5539999999999999,0.5055,0.5479999999999999,0.4915,0.5700000000000001,0.76,0.48,0.53,0.5700000000000001,0.53,0.503,0.5075,0.512,0.484,0.55,0.6849999999999999,0.5,0.525,0.505
65,0.61,0.5725,0.5675,0.5155,0.544,0.6799999999999999,0.64,0.43,0.61,0.44,0.595,0.505,0.522,0.5115,0.495,0.585,0.595,0.47,0.545,0.51
66,0.54,0.5065,0.513,0.469,0.4825,0.6100000000000001,0.4599999999999999,0.4699999999999999,0.48,0.5,0.4549999999999999,0.528,0.495,0.51,0.497,0.61,0.51,0.485,0.48,0.5
67,0.5,0.55,0.539,0.5489999999999999,0.54,0.5,0.55,0.5900000000000001,0.4599999999999999,0.5,0.5599999999999999,0.5125,0.499,0.5135000000000001,0.508,0.47,0.525,0.58,0.515,0.515
68,0.62,0.5479999999999999,0.5365,0.5195000000000001,0.5465,0.55,0.6,0.65,0.5650000000000001,0.5599999999999999,0.58,0.5155,0.5115,0.5045000000000001,0.501,0.5650000000000001,0.55,0.525,0.54,0.55
69,0.7,0.5615,0.5355,0.528,0.523,0.36,0.4199999999999999,0.62,0.52,0.4399999999999999,0.655,0.531,0.503,0.512,0.499,0.395,0.445,0.48,0.505,0.48
70,0.91,0.768,0.62,0.612,0.588,0.8300000000000001,0.8699999999999999,0.65,0.8300000000000001,0.82,0.82,0.547,0.519,0.506,0.4945,0.74,0.76,0.58,0.5,0.71
71,0.73,0.688,0.6,0.604,0.5670000000000001,0.94,0.8800000000000001,0.54,0.6799999999999999,0.65,0.6950000000000001,0.546,0.5065,0.4945,0.516,0.875,0.845,0.5,0.58,0.485
72,0.96,0.924,0.916,0.885,0.85,0.93,0.95,0.9,0.94,0.77,0.865,0.7404999999999999,0.617,0.616,0.5660000000000001,0.8699999999999999,0.935,0.74,0.8300000000000001,0.525
73,0.5700000000000001,0.4429999999999999,0.4039999999999999,0.4039999999999999,0.436,0.7,0.68,0.47,0.3399999999999999,0.38,0.485,0.4945,0.502,0.4945,0.5015,0.57,0.58,0.55,0.445,0.5
74,0.65,0.5780000000000001,0.5589999999999999,0.5425,0.5315,0.43,0.41,0.45,0.48,0.5449999999999999,0.545,0.503,0.51,0.4995,0.494,0.43,0.45,0.485,0.5,0.5
75,0.82,0.745,0.639,0.643,0.569,0.86,0.8,0.5399999999999999,0.7300000000000001,0.58,0.725,0.58,0.54,0.5345,0.4895,0.74,0.61,0.5,0.61,0.54
76,0.5800000000000001,0.5465,0.497,0.563,0.5315,0.6,0.68,0.5900000000000001,0.4800000000000001,0.54,0.575,0.5105,0.5055,0.4935,0.507,0.61,0.6,0.5,0.5,0.5349999999999999
77,0.54,0.5065,0.5720000000000001,0.4845,0.521,0.35,0.53,0.44,0.62,0.67,0.465,0.5005,0.52,0.4985,0.515,0.475,0.485,0.515,0.505,0.495
